id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_percentage_24h,circulating_supply,last_updated
bitcoin,btc,Bitcoin,90107.0,1799491440213,1,31855493113.0,90096.0,87655.0,1.41837,19965496.0,2025-12-22 12:23
ethereum,eth,Ethereum,3054.47,368433368922,2,17301942319.0,3054.19,2945.8,1.8331,120695004.1126167,2025-12-22 12:23
tether,usdt,Tether,0.999626,186759463333,3,61032822968.0,0.999879,0.999524,-0.01186,186824255259.1941,2025-12-22 12:23
binancecoin,bnb,BNB,867.68,119204461497,4,1077792648.0,867.7,845.97,1.11425,137735088.27,2025-12-22 12:23
ripple,xrp,XRP,1.94,117231225625,5,2147449208.0,1.94,1.9,0.01035,60572944636.0,2025-12-22 12:23
usd-coin,usdc,USDC,0.999905,77093758844,6,8547450954.0,1.001,0.999584,-0.00612,77100506677.27135,2025-12-22 12:23
solana,sol,Solana,127.12,71397483221,7,3366633929.0,127.18,123.64,0.93258,562420528.5916454,2025-12-22 12:23
tron,trx,TRON,0.285491,27044148436,8,633839676.0,0.288886,0.285342,0.03127,94687752753.94398,2025-12-22 12:23
staked-ether,steth,Lido Staked Ether,3054.22,26788119827,9,78695631.0,3051.37,2947.64,1.78241,8775070.358531818,2025-12-22 12:23
dogecoin,doge,Dogecoin,0.133015,22329628049,10,921693566.0,0.132961,0.129012,0.68645,167988693126.5791,2025-12-22 12:23
figure-heloc,figr_heloc,Figure Heloc,1.021,14616060058,11,237970.0,,,,14320342129.184,2025-12-21 05:21
cardano,ada,Cardano,0.373369,13632188591,12,570559752.0,0.372752,0.358625,0.48161,36655966075.18098,2025-12-22 12:23
whitebit,wbt,WhiteBIT Coin,58.55,12493646949,13,76112436.0,58.55,57.3,1.30303,214199843.0,2025-12-22 12:23
wrapped-steth,wsteth,Wrapped stETH,3732.5,11819500919,14,41484465.0,3731.53,3604.63,1.74597,3168271.53412342,2025-12-22 12:23
bitcoin-cash,bch,Bitcoin Cash,591.27,11786495377,15,377953366.0,595.63,577.48,0.55659,19970256.14665078,2025-12-22 12:23
wrapped-bitcoin,wbtc,Wrapped Bitcoin,89969.0,11230251539,16,164817355.0,89991.0,87346.0,1.53632,124963.48883569,2025-12-22 12:23
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3320.31,10811319789,17,2434738.0,3318.0,3199.98,1.83419,3264489.800613258,2025-12-22 12:23
usds,usds,USDS,0.998722,9920746874,18,19301457.0,1.0,0.99835,-0.11969,9925692455.799467,2025-12-22 12:23
wrapped-eeth,weeth,Wrapped eETH,3311.58,9347506854,19,4190277.0,3308.63,3194.72,1.85219,2827065.862079974,2025-12-22 12:23
chainlink,link,Chainlink,12.73,8989640940,20,451790821.0,12.73,12.26,0.90253,708099970.4525867,2025-12-22 12:23
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.999288,8977648098,21,1087506938.0,1.0,0.998367,-0.02531,8984992892.453934,2025-12-22 12:23
monero,xmr,Monero,467.43,8600248130,22,157742069.0,482.4,461.21,-0.97124,18446744.07370955,2025-12-22 12:23
weth,weth,WETH,3053.83,7623246422,23,269169225.0,3052.24,2947.7,1.76877,2501808.677991053,2025-12-22 12:23
leo-token,leo,LEO Token,8.21,7572326811,24,3091467.0,8.37,7.98,2.85529,921825873.9,2025-12-22 12:23
zcash,zec,Zcash,451.04,7402346736,25,636237198.0,453.52,430.8,3.03633,16454959.5405448,2025-12-22 12:23
stellar,xlm,Stellar,0.223451,7216091865,26,112702529.0,0.223034,0.212532,2.59552,32409153830.04677,2025-12-22 12:23
hyperliquid,hype,Hyperliquid,25.21,6814704107,27,183104013.0,25.49,23.8,3.57442,270772999.4341414,2025-12-22 12:23
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,90095.0,6603100156,28,400104664.0,90041.0,87619.0,1.44712,73273.08294593,2025-12-22 12:23
ethena-usde,usde,Ethena USDe,0.998963,6388697296,29,120265943.0,1.0,0.997928,-0.00621,6395212810.37239,2025-12-22 12:23
litecoin,ltc,Litecoin,77.91,5970100976,30,363110856.0,78.11,75.7,0.51194,76650564.48347135,2025-12-22 12:23
sui,sui,Sui,1.47,5497967957,31,546897548.0,1.47,1.42,0.53885,3736866360.651109,2025-12-22 12:23
avalanche-2,avax,Avalanche,12.35,5306607471,32,260362748.0,12.37,11.99,0.75264,429530564.7294357,2025-12-22 12:23
